Method,Quant-config,alpha,beta,gamma,delta
full-model,"(float16, False)",0.9214281439781189,0.8020966649055481,1.0621229410171509,0.2586258053779602
full-model,"(float16, True)",0.14999999105930328,0.8499999642372131,0.4000001847743988,1.100000023841858
full-model,"(int8, False)",0.9193627834320068,0.8374356627464294,1.0345373153686523,0.258188396692276
full-model,"(int8, True)",0.862210750579834,0.5783026218414307,1.0257755517959595,0.24834044277668
full-model,"(int4, False)",0.1499999761581421,0.8499999642372131,0.40000003576278687,1.1000001430511475
full-model,"(int4, True)",0.1499999463558197,0.8499999642372131,0.40000003576278687,1.1000001430511475
full-model,"(int4_gptq, False)",0.14999999105930328,0.8499999046325684,0.40000003576278687,1.100000023841858
fingerprint,"(float16, False)",0.04908526688814163,0.6858410239219666,0.18765105307102203,0.568636953830719
fingerprint,"(float16, True)",0.056719742715358734,0.476995050907135,0.6471682786941528,0.30882391333580017
fingerprint,"(int8, False)",0.07340002059936523,0.6847909092903137,0.9456496834754944,0.4982350468635559
fingerprint,"(int8, True)",9.999999974752427e-07,0.38859668374061584,0.5517905950546265,0.7020023465156555
fingerprint,"(int4, False)",0.15545696020126343,0.8139811754226685,0.5062165260314941,0.32195258140563965
fingerprint,"(int4, True)",0.07440026104450226,0.4380153715610504,0.8045902252197266,0.4306272864341736
fingerprint,"(int4_gptq, False)",0.05837882682681084,0.5912114381790161,0.6822206974029541,0.4356187880039215
